variable,description,start,end,length,decimals,type
V0001,UNIDADE DA FEDERAÇÃO: 11- Rondônia 12- Acre 13- Amazonas 14- Roraima 15- Pará 16- Amapá 17- Tocantins 21- Maranhão 22- Piauí 23- Ceará 24- Rio Grande do Norte 25- Paraíba 26- Pernambuco 27- Alagoas 28- Sergipe 29- Bahia 31- Minas Gerais 32- Espírito Santo 33- Rio de Janeiro 35- São Paulo 41- Paraná 42- Santa Catarina 43- Rio Grande do Sul 50- Mato Grosso do Sul 51- Mato Grosso 52- Goiás 53- Distrito Federal,1,2,2,,A
V0002,CÓDIGO DO MUNICÍPIO,3,7,5,,A
V0011,ÁREA DE PONDERAÇÃO,8,20,13,,A
V0300,CONTROLE,21,28,8,,N
V0010,PESO AMOSTRAL,29,44,3,13,N
V1001,REGIÃO GEOGRÁFICA: 1- Região norte (uf=11 a 17) 2- Região nordeste (uf=21 a 29) 3- Região sudeste (uf=31 a 33 e 35) 4- Região sul (uf=41 a 43) 5- Região centro-oeste (uf=50 a 53),45,45,1,,C
V1002,CÓDIGO DA MESORREGIÃO: A relação de códigos encontra-se no arquivo:,46,47,2,,A
V1003,CÓDIGO DA MICRORREGIÃO: A relação de códigos encontra-se no arquivo:,48,50,3,,A
V1004,CÓDIGO DA REGIÃO METROPOLITANA: A relação de códigos encontra-se no arquivo:,51,52,2,,A
V1006,SITUAÇÃO DO DOMICÍLIO: 1- Urbana 2- Rural,53,53,1,,C
V0502,"RELAÇÃO DE PARENTESCO OU DE CONVIVÊNCIA COM A PESSOA RESPONSÁVEL PELO DOMICÍLIO: 01- Pessoa responsável pelo domicílio 02- Cônjuge ou companheiro(a) de sexo diferente 03- Cônjuge ou companheiro(a) do mesmo sexo 04- Filho(a) do responsável e do cônjuge 05- Filho(a) somente do responsável 06- Enteado(a) 07- Genro ou nora 08- Pai, mãe, padrasto ou madrasta 09- Sogro(a) 10- Neto(a) 11- Bisneto(a) 12- Irmão ou irmã 13- Avô ou avó 14- Outro parente 15- Agregado(a) 16- Convivente 17- Pensionista 18- Empregado(a) doméstico(a) 19- Parente do(a) empregado(a)  20- Individual em domicílio coletivo",54,55,2,,C
V0504,ORDEM LÓGICA,56,57,2,,A
V0601,SEXO: 1- Masculino 2- Feminino,58,58,1,,C
V6033,VARIÁVEL AUXILIAR DA IDADE CALCULADA (ANOS E MESES): - 1 a 140 -,59,61,3,,N
V6036,VARIÁVEL AUXILIAR DA IDADE CALCULADA EM ANOS: - 0 a 140,62,64,3,,N
V6037,VARIÁVEL AUXILIAR DA IDADE CALCULADA EM MESES (PARA AS PESSOAS MENORES DE 1 ANO): - 0 a 11,65,66,2,,N
V6040,FORMA DE DECLARAÇÃO DA IDADE: 1- Data de nascimento 2- Idade declarada,67,67,1,,C
V0606,COR OU RAÇA: 1- Branca 2- Preta 3- Amarela 4- Parda 5- Indígena 9- Ignorado,68,68,1,,C
V0613,REGISTRO DE NASCIMENTO: 1- Do cartório 2- Declaração de nascido vivo (DNV) do hospital ou da maternidade 3- Registro administrativo de nascimento indígena (RANI) 4- Não tem 5- Não sabe 9- Ignorado Branco,69,69,1,,C
V0614,"DIFICULDADE PERMANENTE DE ENXERGAR: 1- Sim, não consegue de modo algum 2- Sim, grande dificuldade 3- Sim, alguma dificuldade 4- Não, nenhuma dificuldade 9- Ignorado",70,70,1,,C
V0615,"DIFICULDADE PERMANENTE DE OUVIR: 1- Sim, não consegue de modo algum 2- Sim, grande dificuldade 3- Sim, alguma dificuldade 4- Não, nenhuma dificuldade 9- Ignorado",71,71,1,,C
V0616,"DIFICULDADE PERMANENTE DE CAMINHAR OU SUBIR DEGRAUS: 1- Sim, não consegue de modo algum 2- Sim, grande dificuldade 3- Sim, alguma dificuldade 4- Não, nenhuma dificuldade 9- Ignorado",72,72,1,,C
V0617,DEFICIÊNCIA MENTAL/INTELECTUAL PERMANENTE: 1- Sim 2- Não 9- Ignorado,73,73,1,,C
V0618,NASCEU NESTE MUNICÍPIO: 1- Sim e sempre morou 2- Sim mas morou em outro município ou país estrangeiro 3- Não,74,74,1,,C
V0619,"NASCEU NESTA UNIDADE DA FEDERAÇÃO: 1- Sim, e sempre morou 2- Sim, mas morou em outra UF ou país estrangeiro 3- Não Branco",75,75,1,,C
V0620,NACIONALIDADE: 1- Brasileiro nato 2- Naturalizado brasileiro 3- Estrangeiro Branco,76,76,1,,C
V0621,ANO QUE FIXOU RESIDÊNCIA NO BRASIL: - Branco - 1869 a 2010,77,80,4,,A
V0622,UF OU PAÍS ESTRANGEIRO DE NASCIMENTO: 1- UF 2- País estrangeiro Branco,81,81,1,,C
V6222,UNIDADE DA FEDERAÇÃO DE NASCIMENTO – código: - A relação de códigos encontra-se no arquivo: “Migração_UFs_2010 V6222 V 6252 V6262 V6362 V6602.xls”,82,88,7,,A
V6224,QUAL É O PAÍS ESTRANGEIRO DE NASCIMENTO – código: - A relação de códigos encontra-se no arquivo: “Migração_Países_2010 V3061 V6224 V6256 V6266 V6366 V6606.xls”,89,95,7,,A
V0623,TEMPO DE MORADIA NA UF: - Branco - 0 a 140,96,98,3,,A
V0624,TEMPO DE MORADIA NO MUNICÍPIO: - Branco - 0 a 140,99,101,3,,A
V0625,UNIDADE DA FEDERAÇÃO E MUNICÍPIO OU PAÍS ESTRANGEIRO DE MORADIA ANTES DE MUDAR-SE PARA ESTE MUNICÍPIO: 1- UF/Município 2- País estrangeiro Branco,102,102,1,,C
V6252,UF DE RESIDÊNCIA ANTERIOR – código: - A relação de códigos encontra-se no arquivo: “Migração_UFs_2010 V6222 V6252 V6262 V6362 V6602.xls”,103,109,7,,A
V6254,MUNICÍPIO DE RESIDÊNCIA ANTERIOR – código: - A relação de códigos encontra-se no arquivo: “Migração_Município_2010 V6254 V6264 V6364 V6604.xls”,110,116,7,,A
V6256,PAÍS DE RESIDÊNCIA ANTERIOR – código: - A relação de códigos encontra-se no arquivo: “Migração_Países_2010 V3061 V6224 V6256 V6266 V6366 V6606.xls”,117,123,7,,A
V0626,RESIDÊNCIA EM 31 DE JULHO DE 2005: 1- UF/Município 2- País estrangeiro Branco,124,124,1,,C
V6262,UF DE RESIDÊNCIA EM 31 DE JULHO DE 2005 – código: - A relação de códigos encontra-se no arquivo: “Migração_UFs_2010 V6222 V6252 V6262 V6362 V6602.xls”,125,131,7,,A
V6264,MUNICÍPIO DE RESIDÊNCIA EM 31 DE JULHO DE 2005 – código: - A relação de códigos encontra-se no arquivo: “Migração_Município_2010 V6254 V6264 V6364 V6604.xls”,132,138,7,,A
V6266,PAÍS DE RESIDÊNCIA EM 31 DE JULHO DE 2005 – código: - A relação de códigos encontra-se no arquivo: “Migração_Países_2010 V3061 V6224 V6256 V6266 V6366 V6606.xls”,139,145,7,,A
V0627,SABE LER E ESCREVER: 1- Sim 2- Não Branco,146,146,1,,C
V0628,"FREQUENTA ESCOLA OU CRECHE: 1- Sim, pública 2- Sim, particular 3- Não, já frequentou 4- Não, nunca frequentou",147,147,1,,C
V0629,CURSO QUE FREQUENTA: 01- Creche 02- Pré-escolar (maternal e jardim da infância) 03- Classe de alfabetização - CA 04- Alfabetização de jovens e adultos 05- Regular do ensino fundamental 06- Educação de jovens e adultos - EJA - ou supletivo do ensino fundamental 07- Regular do ensino médio 08- Educação de jovens e adultos - EJA - ou supletivo do ensino médio 09- Superior de graduação 10- Especialização de nível superior ( mínimo de 360 horas ) 11- Mestrado 12- Doutorado Branco,148,149,2,,C
V0630,SÉRIE / ANO QUE FREQUENTA: 01- Primeiro ano 02- Primeira série / Segundo ano 03- Segunda série / Terceiro ano 04- Terceira série / Quarto ano 05- Quarta série / Quinto ano 06- Quinta série / Sexto ano 07- Sexta série / Sétimo ano 08- Sétima série / Oitavo ano 09- Oitava série / Nono ano 10- Não seriado Branco,150,151,2,,C
V0631,SÉRIE QUE FREQUENTA: 1- Primeira série 2- Segunda série 3- Terceira série 4- Quarta série 5- Não seriado Branco,152,152,1,,C
V0632,CONCLUSÃO DE OUTRO CURSO SUPERIOR DE GRADUAÇÃO: 1- Sim 2- Não Branco,153,153,1,,C
V0633,"CURSO MAIS ELEVADO QUE FREQUENTOU: 01- Creche, pré-escolar (maternal e jardim de infância), classe de alfabetização - CA 02- Alfabetização de jovens e adultos 03- Antigo primário (elementar) 04- Antigo ginásio (médio 1º ciclo) 05- Ensino fundamental ou 1º grau (da 1ª a 3ª série/ do 1º ao 4º ano) 06- Ensino fundamental ou 1º grau (4ª série/ 5º ano) 07- Ensino fundamental ou 1º grau (da 5ª a 8ª série/ 6º ao 9º ano) 08- Supletivo do ensino fundamental ou do 1º grau 09- Antigo científico, clássico, etc.....(médio 2º ciclo) 10- Regular ou supletivo do ensino médio ou do 2º grau 11- Superior de graduação 12- Especialização de nível superior ( mínimo de 360 horas ) 13- Mestrado 14- Doutorado Branco",154,155,2,,C
V0634,CONCLUSÃO DESTE CURSO: 1- Sim 2- Não Branco,156,156,1,,C
V0635,ESPÉCIE DO CURSO MAIS ELEVADO CONCLUÍDO: 1- Superior de graduação 2- Mestrado 3- Doutorado Branco,157,157,1,,C
V6400,NÍVEL DE INSTRUÇÃO: 1- Sem instrução e fundamental incompleto 2- Fundamental completo e médio incompleto 3- Médio completo e superior incompleto 4- Superior completo 5- Não determinado,158,158,1,,C
V6352,CURSO SUPERIOR DE GRADUAÇÃO – código: - A relação de códigos encontra-se no arquivo: “Cursos Superiores_Estrutura 2010 V6352.xls”,159,161,3,,A
V6354,CURSO DE MESTRADO – código: - A relação de códigos encontra-se no arquivo: “Cursos Mestrado_Estrutura 2010 V6354.xls”,162,164,3,,A
V6356,CURSO DE DOUTORADO – código: - A relação de códigos encontra-se no arquivo: “Cursos Doutorado_Estrutura 2010 V6356.xls”,165,167,3,,A
V0636,MUNICÍPIO E UNIDADE DA FEDERAÇÃO OU PAÍS ESTRANGEIRO QUE FREQUENTAVA ESCOLA (OU CRECHE): 1- Neste município 2- Em outro município 3- Em país estrangeiro Branco,168,168,1,,C
V6362,UF QUE FREQUENTAVA ESCOLA (OU CRECHE) – código: - A relação de códigos encontra-se no arquivo: “Migração_UFs_2010 V6222 V6252 V6262 V6362 V6602.xls”,169,175,7,,A
V6364,MUNICÍPIO QUE FREQUENTAVA ESCOLA (OU CRECHE) – código: - A relação de códigos encontra-se no arquivo: “Migração_Municípios_2010 V6254 V6264 V6364 V6604.xls”,176,182,7,,A
V6366,PAÍS ESTRANGEIRO QUE FREQUENTAVA ESCOLA (OU CRECHE) – código: - A relação de códigos encontra-se no arquivo: “Migração_Países_2010 V3061 V6224 V6256 V6266 V6366 V6606.xls”,183,189,7,,A
V0637,"VIVE EM COMPANHIA DE CÔNJUGE OU COMPANHEIRO(A): 1- Sim 2- Não, mas viveu 3- Não, nunca viveu Branco",190,190,1,,C
V0638,NÚMERO DE ORDEM DO CÔNJUGE OU COMPANHEIRO(A): - Branco - 1 a 98 - 99 = ignorado,191,192,2,,A
V0639,NATUREZA DA UNIÃO: 1- Casamento civil e religioso 2- Só casamento civil 3- Só casamento religioso 4- União consensual Branco,193,193,1,,C
V0640,ESTADO CIVIL: 1- Casado(a) 2- Desquitado(a) ou separado(a) judicialmente 3- Divorciado(a) 4- Viúvo(a) 5- Solteiro(a) Branco,194,194,1,,C
V0641,"NA SEMANA DE 25 A 31/07/10, DURANTE PELO MENOS 1 HORA, TRABALHOU GANHANDO EM DINHEIRO, PRODUTOS, MERCADORIAS OU BENEFÍCIOS: 1- Sim 2- Não Branco",195,195,1,,C
V0642,"NA SEMANA DE 25 A 31/07/10, TINHA TRABALHO REMUNERADO DO QUAL ESTAVA TEMPORARIAMENTE AFASTADO(A): 1- Sim 2- Não Branco",196,196,1,,C
V0643,"NA SEMANA DE 25 A 31/07/10, DURANTE PELO MENOS 1 HORA, AJUDOU SEM QUALQUER PAGAMENTO NO TRABALHO REMUNERADO DE MORADOR DO DOMICÍLIO: 1- Sim 2- Não Branco",197,197,1,,C
V0644,"NA SEMANA DE 25 A 31/07/10, DURANTE PELO MENOS 1 HORA, TRABALHOU NA PLANTAÇÃO, CRIAÇÃO DE ANIMAIS OU PESCA, SOMENTE PARA ALIMENTAÇÃO DOS MORADORES DO DOMICÍLIO (INCLUSIVE CAÇA E EXTRAÇÃO VEGETAL): 1- Sim 2- Não Branco",198,198,1,,C
V0645,QUANTOS TRABALHOS TINHA: 1- Um 2- Dois ou mais Branco,199,199,1,,C
V6461,OCUPAÇÃO – código: (pode ter valor branco) - A relação de códigos encontra-se no arquivo: “Ocupação COD_Estrutura 2010.xls”,200,203,4,,A
V6471,ATIVIDADE – código (pode ter valor branco) - A relação de códigos encontra-se no arquivo: “CNAEDOM2.0_Estrutura 2010.xls”,204,208,5,,A
V0648,"NESSE TRABALHO ERA: 1- Empregado com carteira de trabalho assinada 2- Militar do exército, marinha, aeronáutica, policia militar ou corpo de bombeiros 3- Empregado pelo regime jurídico dos funcionários públicos 4- Empregado sem carteira de trabalho assinada 5- Conta própria 6- Empregador 7- Não remunerado Branco",209,209,1,,C
V0649,QUANTAS PESSOAS EMPREGAVA NESSE TRABALHO: 1- 1 a 5 pessoas 2- 6 ou mais pessoas Branco,210,210,1,,C
V0650,"ERA CONTRIBUINTE DE INSTITUTO DE PREVIDÊNCIA OFICIAL EM ALGUM TRABALHO QUE TINHA NA SEMANA DE 25 A 31 DE JULHO DE 2010: 1- Sim, no trabalho principal 2- Sim, em outro trabalho 3- Não Branco",211,211,1,,C
V0651,"NO TRABALHO PRINCIPAL, QUAL ERA O RENDIMENTO BRUTO (OU A RETIRADA) MENSAL QUE GANHAVA HABITUALMENTE EM JULHO DE 2010: 0- Não tem 1- Em dinheiro, produtos ou mercadorias 2- Somente em benefícios Branco",212,212,1,,C
V6511,VALOR DO RENDIMENTO BRUTO (OU A RETIRADA) MENSAL NO TRABALHO PRINCIPAL:,213,218,6,,N
V6513,RENDIMENTO NO TRABALHO PRINCIPAL:,219,224,6,,N
V6514,RENDIMENTO NO TRABALHO PRINCIPAL EM Nº DE SALÁRIOS MÍNIMOS:,225,230,4,2,N
V0652,"NOS DEMAIS TRABALHOS, QUAL ERA O RENDIMENTO BRUTO (OU A RETIRADA) MENSAL QUE GANHAVA HABITUALMENTE EM JULHO DE 2010: 0- Não tem 1- Em dinheiro, produtos ou mercadorias 2- Somente em benefícios Branco",231,231,1,,C
V6521,VALOR DO RENDIMENTO BRUTO (OU A RETIRADA) MENSAL NOS DEMAIS TRABALHOS (EM REAIS),232,237,6,,N
